Time,BUS1_01_V_ang,BUS1_01_V_mag,BUS1_02_I_ang,BUS1_02_I_mag,BUS2_01_V_ang,BUS2_01_V_mag,BUS2_02_I_ang,BUS2_02_I_mag,BUS3_01_V_ang,BUS3_01_V_mag,BUS3_02_I_ang,BUS3_02_I_mag,BUS4_01_V_ang,BUS4_01_V_mag,BUS4_02_I_ang,BUS4_02_I_mag,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS5_03_I_ang,BUS5_03_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS6_04_I_ang,BUS6_04_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS10_04_I_ang,BUS10_04_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS11_03_I_ang,BUS11_03_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.652793884,1.03190250613705,0.483430386,1.66358247884922,0.54978776,1.01238758754263,0.391680718,2.0274383156611,0,1.03162443057596,-0.147303581,1.8836421274043,-0.139365434,1.01234174968402,-0.264765501,1.84936939721675,1.096290231,1.01802862993985,0.978784085,1.66225481201243,0.9787817,1.66222109648876,0.973500967,0.997789286408615,0.887034655,2.02582036121865,4.111567497,1.66309220921445,0.924424291,3.68573853207578,0.861997009,0.987366388273412,4.064448714,3.68569768304312,0.755242825,2.37654467932297,0.725501538,0.664115393691645,0.725501538,0.664115474826678,0.636541844,0.949645687130721,3.774484396,0.668548688931328,3.774484396,0.668548770066361,0.636666179,1.67454131054194e-06,0.632891655,1.33706276998641,0.180644751,0.995790014802249,0.180701733,1.75574946366705e-06,3.729707956,1.32448324717159,3.4259565474,3.72432851974164,0.129659653,4.92675710880015,0.292979956,1.00156308623919,0.285923243,3.72461737905097,0.230588436,1.84789348923739,3.481836796,1.88236197655875,0.432540178,1.01858801608098,0.348048687,1.88210505205165,0.348050118,1.88213892957981,0.861997009,0.987366388273412,3.89683547858979,2.37654467932297,0.180644751,0.995790014802249,3.27125230658979,4.92675710880015
0.0333,0.652793884,1.03190208351665,0.483430147,1.66358191420066,0.54978776,1.01238724979273,0.391680717,2.02743786417319,0,1.03162409282605,-0.147303581,1.88364145074978,-0.139365435,1.01234149593858,-0.264765501,1.84936883372289,1.096290231,1.0180282767521,0.978784084,1.66225432599897,0.9787817,1.6622206091474,0.973500967,0.997788933220863,0.887034535,2.02581987387729,4.111567497,1.66309172320099,0.924424171,3.68573756004886,0.861997008,0.987366153316955,4.064448714,3.68569638700724,0.755242824,2.37654386797263,0.725501418,0.664115191053248,0.725501418,0.664115272188281,0.636541843,0.949645392682083,3.774484277,0.66854848629293,3.774484277,0.668548567427964,0.636684179,1.67443835536347e-06,0.632891536,1.3370623649752,0.180644512,0.995789779845792,0.180585861,1.75609976118567e-06,3.729707837,1.3244828418948,3.4259564874,3.72432754771472,0.129659414,4.92675548742739,0.292979955,1.00156285128273,0.285923242,3.72461608168718,0.230588436,1.84789300322393,3.4818367956,1.88236132854081,0.432540178,1.01858778112453,0.348048687,1.8821044027058,0.348050117,1.88213828156187,0.861997008,0.987366153316955,3.89683547758979,2.37654386797263,0.180644512,0.995789779845792,3.27125206758979,4.92675548742739
0.0666,0.652794003,1.03190292875745,0.483430386,1.66358326750969,0.549787998,1.01238801016303,0.391680956,2.02743944380353,0,1.03162485319635,-0.147303581,1.88364291606477,-0.139365196,1.01234225630888,-0.264765263,1.84937029903787,1.09629035,1.01802910060583,0.978784203,1.66225562336276,0.978781819,1.66222190651119,0.973501086,0.997789639596366,0.887034774,2.02582133324557,4.111567616,1.66309302056478,0.92442441,3.68574015344854,0.861997247,0.987366858939393,4.064448833,3.68569930441588,0.755243063,2.37654581335436,0.725501656,0.664115717966197,0.725501656,0.66411579896844,0.636541963,0.949646157796701,3.774484515,0.66854901320588,3.774484515,0.668549094208123,0.636422992,1.67441764003582e-06,0.632891774,1.33706333700211,0.180644751,0.99579048546823,0.180727243,1.75585319301449e-06,3.729708075,1.3244838955879,3.4259566664,3.72433046512337,0.129659653,4.92675937819085,0.292980194,1.00156355690517,0.285923481,3.72461899909583,0.230588436,1.8478944612643,3.4818369745,1.88236278790908,0.432540417,1.01858848674696,0.348048687,1.88210586207408,0.348050356,1.88213974093014,0.861997247,0.987366858939393,3.89683571658979,2.37654581335436,0.180644751,0.99579048546823,3.27125230658979,4.92675937819085
0.0999,0.652794003,1.03190191377567,0.483430385,1.66358168903405,0.549787998,1.01238708005175,0.391680955,2.02743741383998,0,1.03162392308507,-0.147303582,1.88364122442848,-0.139365197,1.0123413261976,-0.264765263,1.84936860740158,1.096290349,1.01802815927387,0.978784203,1.66225416399449,0.978781819,1.66222044714291,0.973501086,0.997788815742634,0.887034773,2.02581954986832,4.111567616,1.66309139919202,0.92442429,3.68573691203092,0.861997127,0.987365917607432,4.064448833,3.68569573898929,0.755242943,2.37654354396366,0.725501537,0.664115110051005,0.725501537,0.664115191053248,0.636541962,0.949645275203855,3.774484515,0.668548364789566,3.774484515,0.66854848629293,0.636551141,1.67478540615285e-06,0.632891654,1.33706212196847,0.18064475,0.995789544136269,0.180775642,1.75575178219026e-06,3.729707956,1.32448259875528,3.4259566064,3.72432689969678,0.129659652,4.92675451407257,0.292979955,1.00156261557321,0.28592348,3.72461543366924,0.230588436,1.84789267921496,3.4818369145,1.88236100453184,0.432540416,1.01858766289323,0.348048686,1.88210407869683,0.348050355,1.8821379575529,0.861997127,0.987365917607432,3.89683559658979,2.37654354396366,0.18064475,0.995789544136269,3.27125230558979,4.92675451407257
0.1332,0.652793884,1.03190326737338,0.483430386,1.6635837189976,0.54978776,1.01238834877896,0.391680956,2.02743989413674,0,1.03162519181229,-0.147303581,1.88364347955863,-0.139365435,1.01234259492482,-0.264765263,1.84937075052578,1.096290231,1.01802945304052,0.978784204,1.66225610937622,0.978781819,1.66222239252464,0.973501086,0.997789992784118,0.887034655,2.02582198126351,4.111567497,1.66309350657824,0.924424291,3.68574112547545,0.861997128,0.987367094648916,4.064448834,3.6857002777707,0.755242944,2.37654646270021,0.725501537,0.664115879970683,0.725501537,0.664116001606837,0.636541963,0.949646392753158,3.774484396,0.668549175210365,3.774484396,0.668549256345399,0.636591196,1.67439012317558e-06,0.632891655,1.33706374201332,0.180644751,0.995790721177752,0.180616379,1.75585829482788e-06,3.729707956,1.32448421972967,3.4259565473,3.72433143715028,0.129659653,4.92676067422674,0.292979956,1.00156391009292,0.285923481,3.72461997245065,0.230588436,1.84789494860566,3.4818368555,1.88236327392254,0.432540178,1.01858883993472,0.348048687,1.88210634808754,0.348050118,1.8821402269436,0.861997128,0.987367094648916,3.89683559758979,2.37654646270021,0.180644751,0.995790721177752,3.27125230658979,4.92676067422674
0.1665,0.652793884,1.03190199864616,0.483430385,1.66358168903405,0.549787759,1.01238716492224,0.391680717,2.02743741383998,0,1.03162392308507,-0.147303582,1.88364122442848,-0.139365435,1.0123413261976,-0.264765501,1.84936860740158,1.09629023,1.0180282767521,0.978784084,1.66225416399449,0.9787817,1.66222044714291,0.973500967,0.997788815742634,0.887034654,2.02581954986832,4.111567497,1.66309139919202,0.92442429,3.68573691203092,0.861997127,0.987365917607432,4.064448714,3.68569606299826,0.755242824,2.37654354396366,0.725501418,0.664115110051005,0.725501418,0.664115191053248,0.636541843,0.94964521646474,3.774484396,0.668548405290687,3.774484396,0.66854848629293,0.636506915,1.67462757129096e-06,0.632891655,1.33706212196847,0.18064475,0.995789544136269,0.180733442,1.75576013073289e-06,3.729707956,1.32448267975752,3.4259565469,3.72432689969678,0.129659414,4.92675451407257,0.292979955,1.00156273305144,0.285923242,3.72461543366924,0.230588436,1.84789267921496,3.4818367955,1.88236100453184,0.432540178,1.018587545415,0.348048687,1.88210407869683,0.348050117,1.8821379575529,0.861997127,0.987365917607432,3.89683547758979,2.37654354396366,0.18064475,0.995789544136269,3.27125206758979,4.92675451407257
0.1998,0.652794003,1.03190292875745,0.483430385,1.66358326750969,0.549787998,1.01238801016303,0.391680956,2.02743944380353,0,1.03162493806684,-0.147303581,1.88364291606477,-0.139365196,1.01234225630888,-0.264765263,1.84937029903787,1.096290469,1.01802910060583,0.978784323,1.66225562336276,0.978781938,1.66222190651119,0.973501205,0.997789757074595,0.887034774,2.02582133324557,4.111567736,1.66309302056478,0.92442441,3.68574015344854,0.861997247,0.987366858939393,4.064448953,3.68569930441588,0.755243063,2.37654581335436,0.725501656,0.664115717966197,0.725501656,0.664115839469561,0.636542082,0.949646157796701,3.774484515,0.66854901320588,3.774484515,0.668549094208123,0.636602282,1.67461010269254e-06,0.632891774,1.33706341800435,0.18064475,0.99579048546823,0.180662155,1.75576090357396e-06,3.729708075,1.3244838955879,3.4259567259,3.7243301411144,0.129659653,4.92675937819085,0.292980194,1.00156355690517,0.285923481,3.72461899909583,0.230588674,1.8478944612643,3.4818369745,1.88236278790908,0.432540417,1.01858848674696,0.348048925,1.88210586207408,0.348050356,1.88213974093014,0.861997247,0.987366858939393,3.89683571658979,2.37654581335436,0.18064475,0.99579048546823,3.27125230658979,4.92675937819085
0.2331,0.652794004,1.03190225239161,0.483430386,1.66358191420066,0.549787999,1.01238724979273,0.391680956,2.02743786417319,0,1.03162409282605,-0.147303581,1.88364145074978,-0.139365196,1.01234149593858,-0.264765262,1.84936894572884,1.09629035,1.0180282767521,0.978784204,1.66225432599897,0.97878182,1.6622206091474,0.973501206,0.997788933220863,0.887034774,2.02581987387729,4.111567617,1.66309172320099,0.92442441,3.68573756004886,0.861997247,0.987366153316955,4.064448834,3.68569638700724,0.755243063,2.37654386797263,0.725501657,0.664115231687159,0.725501657,0.664115312689402,0.636542082,0.949645392682083,3.774484516,0.66854848629293,3.774484516,0.668548607929085,0.636687756,1.6746662186561e-06,0.632891775,1.3370623649752,0.180644751,0.995789779845792,0.180661202,1.75597516380142e-06,3.729708076,1.3244828418948,3.4259566669,3.72432754771472,0.129659653,4.92675548742739,0.292979956,1.00156285128273,0.285923481,3.72461608168718,0.230588437,1.84789300322393,3.4818369154,1.88236132854081,0.432540179,1.01858778112453,0.348048687,1.8821044027058,0.348050356,1.88213828156187,0.861997247,0.987366153316955,3.89683571658979,2.37654386797263,0.180644751,0.995789779845792,3.27125230658979,4.92675548742739
0.2664,0.652793884,1.03190250613705,0.483430386,1.66358247884922,0.549787998,1.01238758754263,0.391680956,2.0274383156611,0,1.03162443057596,-0.147303581,1.88364201424365,-0.139365196,1.01234174968402,-0.264765263,1.8493695103774,1.09629035,1.01802874741808,0.978784204,1.66225481201243,0.978781819,1.66222109648876,0.973501086,0.997789286408615,0.887034774,2.02582036121865,4.111567616,1.66309220921445,0.924424291,3.68573853207578,0.861997128,0.987366388273412,4.064448833,3.68569768304312,0.755242944,2.37654467932297,0.725501537,0.664115434192766,0.725501537,0.6641155153278,0.636541963,0.949645687130721,3.774484515,0.66854872956524,3.774484396,0.668548810567482,0.63660872,1.67448689562548e-06,0.632891655,1.33706276998641,0.180644751,0.995790014802249,0.180739403,1.75567031518053e-06,3.729707956,1.32448332817383,3.4259566069,3.72432851974164,0.129659653,4.92675678346327,0.292979956,1.00156308623919,0.285923481,3.72461705371409,0.230588436,1.84789365124187,3.4818368554,1.88236181455427,0.432540178,1.01858801608098,0.348048687,1.88210489004717,0.348050117,1.88213876757532,0.861997128,0.987366388273412,3.89683559758979,2.37654467932297,0.180644751,0.995790014802249,3.27125230658979,4.92675678346327
0.2997,0.652793884,1.03190242126656,0.483430385,1.66358247884922,0.549787759,1.01238758754263,0.391680717,2.0274383156611,0,1.03162451544645,-0.147303582,1.88364201424365,-0.139365435,1.01234183368848,-0.264765501,1.8493695103774,1.09629023,1.01802862993985,0.978784084,1.66225481201243,0.9787817,1.66222125849324,0.973501086,0.997789286408615,0.887034654,2.02582036121865,4.111567497,1.66309220921445,0.92442429,3.68573853207578,0.861997127,0.987366388273412,4.064448714,3.68569768304312,0.755242943,2.37654467932297,0.725501537,0.664115434192766,0.725501537,0.6641155153278,0.636541962,0.949645687130721,3.774484396,0.66854872956524,3.774484396,0.668548810567482,0.636646151,1.67424079089336e-06,0.632891655,1.33706285098865,0.18064475,0.995790014802249,0.180614471,1.75606745324195e-06,3.729707956,1.32448332817383,3.4259565468,3.72432851974164,0.129659652,4.92675678346327,0.292979955,1.00156308623919,0.285923242,3.72461705371409,0.230588436,1.84789365124187,3.4818367954,1.88236181455427,0.432540178,1.01858801608098,0.348048687,1.88210489004717,0.348050117,1.88213876757532,0.861997127,0.987366388273412,3.89683559658979,2.37654467932297,0.18064475,0.995790014802249,3.27125230558979,4.92675678346327
